german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
Dasselbe Problem kann man anders betrachten. ,Voici une autre façon d'aborder le même problème. ,Dasslelbe Problem kann mian anders betrachten. ,Dasselbe Poblem kann ma anmdrs betrachten. ,Dasseqbedoblem kannman anders betrachteno ,Voici une autre façon d'aborder ole même problèmeq ,Vxoici une autr façoln d'aborder lej meme problème. ,quoici une autbe façon d'aborder le même robclgème 
"Die dunkelblaue Linie zeigt, was die Regierung ausgibt. ",La ligne bleue foncée représente ce que le gouvernement dépense. ,"Die dunkelblaue Linie zeigt, was die Regierung aussgibti ","Die wdunkulblaue Linie zeimt, was die cRegierung ausgibt. ","Diendunkelblaue Linie zeigt, was dmieReierung audsit. ",La ligne bleue foncte représente ce que le gouvernement dpence. ,La lignex bleue foqcée repjrxsente ce que le gouvenekment dépense. ,pLa ligns bleue foncé représentece queile gouvereent dépensek 
"Die hellblaue Linie zeigt, was die Regierung einnimmt. ",La ligne bleue claire représente ce que le gouvernement reçoit. ,"Die hellblaue Linie zmeigt, ways die Regierung einnimmt. ","hDvie hellblaue Linie zeigt,was die Regierung ednbimmt. ","Die hellblaue Linie zeioqgt,zr waj dieRegierung qeinnimmt. ",La ligne bleue claire représente ce que le guvenement reçoit.,La lipgne bsue claire rerésente ce que leo gouvernement reçoit ,Laligne bleuce cljire rfegrésentqe ce qu le gouvernemsntreçoit. 
"Sie sehen, wir haben in der jüngsten Vergangenheit, außer für kurze Zeit, stets mehr ausgegeben als eingenommen. Daher die Staatsverschuldung. ","Et comme vous le voyez, pour la plupart de l'histoire récente, à l'exception d'une brève période, nous avons constamment dépensé plus que ce que nous recevons. D'où la dette nationale. ","Si zsehe, wiruhaben infder jüngsten Vergangenheit, aukßer fpür kurze Zeit, stets mehr ausgegeben als eingenommen. Daher die Staatsverschuldung. ","Sie seen, ziwir haben in der jüngsten Vergangenheit,n außer fün krze Zeit, steths mehr ausgegfebetn als einkenommen.kDaher die Staavtsverschuldung. ","ic sevan,puwir ghaben ihn der jüngsten ewgangenheit, außer fürkurze Zeit, seq mjehrdausgegebegn als eingenmmen. Daher dieaatsverschuldung. ","Et comme vour le voyez, pour la pluart ae l'histiru rjente, à l'exception d'une brève période, nous avons constamment dépensé plus que ce que nous recevons. D'où lad wdette nationale. ","Etcomme vous lh voyez, pour la pjupart de l'dhistorek récente, à l'excepjion d'un brèe périide, nols avobs constammeng dépensé plls que ce que nous rpcevons. D'oùnla djtte natsonale. ","Et comfme vods le voyez, pohur laf plupart e 'hiystkire récete, à 'exception d'une brève pfriode, nous avons constzacmkmzenet dépensé plusque ce qe ous reyevaonq. hD'où lwza dette nationalez "
"Wie Sie bei der Zukunftsprojektion sehen können, geht die Lücke ein bisschen auseinander und steigt und diese Grafik geht nur bis 2021. ","Mais comme vous pouvez aussi le constater, via une projection future, l'écart se creuse et s'agrandit un peu, et ce graphe ne va que jusqu'en 2021. ","Wqie Sie bei der Zukunftsprojektion sehen können, geht die Lücke ein bisschen vseinander und steigt undz iese Girafik geht nur bis 2021. ","Wixe Sie beie der Zukunftsprojektiocn sehen köhnnen, geh die Lüce ein bsschen auseinanzer undseemigt unfd diese Grafik geht nr bis 2021. ","Wie Sne bi der Zukunftdprojebtion sehen können, gejt di Lücde in bisuschen jauseingndey wund steigtp und diese Grafik geht nourkjis 02. ","Mais comme vousz pouvez aussile constater, via une projecnion future, l'écart se creuse et s'agrandit un peku, et ce graphe ne va qejusqu'exn 2021. ","Mais comme vnuspouvez aussi le nconstater, va ue projction future, l'écanrt kse xcreuse et s'agrandit un peu, et ce graphe ne va que jeussqu'en 2021.gw","Mais comme vrus pouvez aussi lec constatterr va unxe projection future, d'écat secrewseet sd'agrcndiy un peu, etoce graph n va queijusqu'en 202h1. "
Um 2030 wird sie richtig hässlich. ,Cela devient très très moche à l'horizon 2030. ,Um 2030 wird se richtig hässlich. ,Umo2030 ind sie richtig hässlich. ,Um 2030 wird six richtygxhäslichw. ,Cela devient srès très moche à l'horizon 2030.g ,Cela dhvient rès très moch à l'ohorizon 2030. ,Cgelaydevipt trèstrè moche à l'horizon i2030. 
Diese Grafik resümiert das eigentliche Problem. ,Et ce graphe résume en quelque sorte le problème. ,Dpiese Grafikq resümiert das eigentliche Problem. ,Diese Grafk resümciert das eigantlinche Problem. ,Dlese Garafik resüiert ydoas eigengtliche Problem. ,Et ce graphe résume en nuelque sorte le problèmce. ,Et ce gkahe résme en qurlquesorte le problème. ,t e grapht résume ennlquelque sorte le prbleme. 
"Die Demokraten sagen: """" Das ist kein großes Ding. ",Les Démocrates disent que ce n'est pas un drame. ,"Die Demokraten sagen: """" as ist kein großesz Ding. ","Die Demokraten sagen: """" uas ist ykein großes ing. ","Die Demokraten sagen: """" Dgs mistqkeimn goßes Diny. ",Les Démocrates disent sue ce n'gst pas un drame. ,ues Défocrates disent que ce n'estpas un dame. ,Ls Démocrates okisexntoque cv n'estxpas un drame. 
"Wir erhöhen einfach die Steuern etwas und schließen die Lücke, besonders, wenn wir die Reichen besteuern. """" ",Nous pouvons juste augmenter les impôts un petit peu et réduire l'écart surtout si nous augmentons les impôts des riches. ,"Wir erhöhen einfach die Steuern etwas und schließen die lücke, besondbers, wenn wir odieRheichen besteuern. """" ","Wir erhöhens einfach die uteuern etas nnd schließen die Lüxke,zbesonders, wenn wir diefReichenbesteucrf. """" ","Wir erhöhendeinacb die iteuern etwasw undschließen die Lücxke, besonders enn wir ie fReiycchen jesateuern.y"""" ",Nous louvons juste augmentez le impôts un petit peu et réduire t'écart surtout si nous augmentons les impôts desa riches. ,dNous pouvng juste augmenter les impôts uz petit peu et réduire l'écart surtout slnxhs augmentona les impôlfs des richee. ,Nous pouvogns juustedaugmnter lsesipmpôts un petit peu et réduire l'écat srtout si noiu augmentons lr impsôts des rich. 
"Die Republikaner sagen: """" Nein, wir haben eine bessere Idee. ","Les Républicains disent, hey, non, non, nous avons une meilleure idée ","Die Republxkaner sagen: """" Neinro wir haben eine bessere Idee. ","Die Republilkaner sjxangen: """" Neie, wiy haben eine bessere Idee. ","Die Repubilkanrz sagen:"""" Nein, wir aben wine bessere Ideue.","Les Républicains dient, hey, non, non, nous avons unelmeillure idée ","LesRécpublicainj disent, eey, non, on, nous avons une cmeilleure idyée ","xLes Républicains disent, hey, non, non, qnu avons nevfueilleure idée "
Warum senken wir nicht beide Linien? ,Pourquoi ne baisserions-nous pas les deux lignes ? ,Warum senken wir nicht bbeide Linien? ,Warum senken wir nicht boeidr Linien?o,Wuwum senken wiur nicht beidek Linin? ,Pouruoi ne baisserionp-nous pas les deux lignes ? ,Pourquoi ne baisserionst-us pas lers deux lignes ?h ,rPourgquoi ne baniseridns-nous pas les eux lignesd ? 
"Warum senken wir nicht die Staatsausgaben und die Staatssteuern, dann wird die Langzeitkurve für das Defizit noch besser sein? """" ",Pourquoi ne baisserions-nous pas les dépenses du gouvernement ainsi que les impôts gouvernementaux et alors nous aurions une trajectoire du déficit à long-terme encore plus favorable ? ,"Warum senen wir nicht die Stajatsausgaben und dieqStaatsesteuern, dann fwird die Langzeitkurve für das Defizit noch besser sei? """" ","Warum senken wir nicht die Stnaadsausgaben und dj Staatsseuenn dann wird die angzeitvure fürldas efizit noch besser sein? """" ","Waum senkeu xwir nicht divhy Staatsausgaben und dsiet Staatssfteuern, dfanwird diefLangzeitkurve fürr das Defizgm noch besser seien?h"""" ",Pourquopi ne baisserions-nous pas les dépenses du gouelrnement ainsmi que lesmimpôts gouvernemiertaux et alors nous aurions une trajectoire du déficit  long-terme ecore plus favorable ? ,Pqurquoi ebaisseront-nols ps lds dépenses du gouvernement ainsi que qes impôts mgouverwnementaux et alors nous aurionssune trajeotoire du déficit à qlong-termeb encoxre pxus favrable ? ,orquoin baiisseoions-nous papjs lqs dépxnseo du gouvernements ainsi que lesrimpôts gouvernmemeytaux et alors nnous aurions une trajectoie du défncitj à long-term encore pqus kavoraue  
"Hinter dieser gewaltigen Meinungsverschiedenheit über das Schließen der Lücke steht die übelste Art zynischer Parteipolitik, die schlimmste Art von Insider-Diskussionen, Lobbyismus, dieser ganze Kram. Aber da ist auch diese unheimlich interessante, respektvolle Meinungsverschiedenheit zwischen zwei grundverschiedenen Wirtschaftsphilosophien. ","Et derrière ce désaccord important sur comment supprimer ou combler cet écart, on trouve la plus cynique espèce des politiques partisanes, la pire espèce de petite réglementation, de lobbying et tout mais il y a aussi ce désaccord, profondément interessant et respectueux entre deux philosophies économiques fondamentalement différentes. ","Hignter dieser gewaltigen Mesnungsverschiedenheit üsber das Schließen der Lücke steht die übelsteu Art zynischer Parteipolitik, die schlimmsbte Arpt svo Insider-Diskussionen, Lobzyismus, dieser ganze Kram. Aber da ist auch diese unhneimlich inteessante, rspektvolle Meinungsverschieenheit zwischen zwaei grundvebrschiedenen Wirtschaftsphiloxsophien. ","Hkpnter aeser gwaltiqen Meinungsvrschiedenhext über dad Schließen jer Lücke sdeht die übelste Art zynischer Parteipoylitik, die schylimmste Art von Injide-Diskussionen, Lobbyisus, diqeser gnze Kmqam. Aber da ist auch diese unheimlich nteressante, nrespektvozlle Meinungsverschidenhik zwischen lzwez gruhndversjchiedenejWitscharftsphilosophien. ","Hitesdieher sgewaltigenMjinubnrgsvekschiedenheit wber das Schließen deer Lücke steht die übelste Artm zynimscher Parteiiolitik, die schlfimmsteeArt vron Insider-Drussionlen Lobbyimus, dieser ganze Kram.f Aber da istmauchzdiese ufnheimlich interesantev espetvolle Meinungsverschiedenheit zkichen zwei gfmrundvelyrsciedenen Wkirtschkftspdloophien. ","Et derrière ce désaccord important sur comment suppriimernou combler cet écart, on trouve la plus cynique espèce des polrtgiques partisanes, lha pire espèce d petite régleyentation, de lobbyonget tout mais il y a aussi ce désaccord, profondémdent interessant et resectueux eetre deux philosopies économques fondamenlalemenit différentes. ","Et derrière oce rdésaord important sugr cnmment ysupprimer ou comblerj cet écart, on troue la plus cynique espèfce des pdlitiques partisanes, la pire espdècevde petitge réglementation, deflobbbying et jout mais il y ha qaussi cae désaccord,profondémet interessant et respectoeux edtpre deulphlosophesyéconomiques fbondamentawement différepntes. ","Eth derrièe ce désaccord importaht sur comment suipprier ou omker cet écart, on trouve lpa pldus ynique esfpèce des palitgiquys partisanes, la pire espèe derpetite régqlementation, de lobbyding et tout mas il  a aussi cie cdésaxcconrdi, prfondémientx idnseressant etnrespectueuxentre hpx philoshopies éeonoxmqueys fondamntaxemek dijifférentes. "
"Wenn ich mir vorstelle, wie Republikaner die Wirtschaft sehen, stelle ich mir das gern als eine einfach unglaublich ausgereifte Maschine vor, eine perfekte Maschine. ","Et j'aime à penser que, quand j'imagine comment les Républicains voient notre économie, ce qu'ils imaginent est juste une machine superbement bien faite, une machine parfaite. ","Wenn ioch mir vorstelfe, wie Republikaner die Wirctschaft sehen, stelle ch mir dvahms gern als eine einfach unglaublich ausgereite Maschine vor, eine perfekte Maschine. ","Wenn ichmir vorstelle, ie Repulikaner pie Wirtscoaft sbehen, stelle ich vmr ds gernk als eineh einfachuunglaublaich ausgerejfe Maschaine vor, eine perfekte Maschine. ","xen ich mir vorstelle, qie Republianer dxie Wirtschaft sefen, stelle ich mird das gern als keineenfach unnlaublih ausgtvrviftie Maswne vor, eivne perfekeMaschine. ","Et j'amime à penser que, quand j'imagine comhment les Républicains voient notre éconoie, ce qu'ils imaginehnt est juste une machine sperbement bien fgite,a une machine poarfaite. ","Et j'aimd à pensr que, quand j'imhgine comment sles Répnblcainz voient notre écsonomie, ce qu'ils imaginenpt est juste uxn machine superbmeant bien faite, use mvhchinew parfaite. ","Eti j'aime à penser que, quand jn'imaine comment le Répubvlicains gqient notre économie, ceh qu'il imagtinenwt est juqt gune machinse spernemen bien faite, un macince pabrfwaise. "
"Leider stelle ich mir dabei eine aus Deutschland oder Japan vor. Diese Maschine reinigt ständig jedes Quentchen menschlichen Unternehmensgeist und zieht Ressourcen, Geld, Arbeit, Kapital, Maschinen von den am wenigsten produktiven Teilen ab und bringt sie zu den produktiveren Teilen und während dies zeitweise Verlagerungen hervorruft, werden dabei die produktiveren Gebiete aufgebaut, die weniger produktiven Gebiete welken dahin und sterben. Im Ergebnis ist das gesamte System so viel effizienter, so viel ergiebiger für alle. ","Malheureusement, je l'imagine faite en Allemagne ou au Japon, mais cette incroyable machine qui ne cesse de récurer chaque aspect de l'effort humain et confisque ressources, argent, travail, capital, machines aux parties les moins productives au profit des parties les plus productives et malgré le fait que cela puisse causer des mises à l'écart temporaires ce qu'elle fait c'est qu'elle construit les domaines les plus productifs et laisse les domaines les moins productifs disparaitre et mourir et en conséquence, le système entier est tellement plus efficace, tellement plus riche et plus efficace pour tout le monde. ","Lhider stelle ich mir dabuei eine aus Deutschlany ojder Japan vor.l Diese Maschine reinigt ständig jedes Quentckhen menschliyhen Unternehmensgebist und zilht Ressourcen, Geld, Arbeit,rKapital, Maschinen von den am wenigsten produktiven Teilen ab und bringt sie zeu den proddaktiveren Teilen und während dies zeitweiye Verlagerungen hervorrufte werden dabei diepoduktiverens Gebiete aufgfebaut, die weniger roduktiven Gebiete welkn dahin und sterben. bIm Ergebnis ist das gesyamte ystem so viel elfizienterc so viel ergiebiger für alle. ","Leider stalle ich mji babe eine aus Deutschland ode zapanivor. Diese Maschine reinpigt sändig jedes Quextchen menschlichen Untkrnehmensgeist undmzieht uRessourcexn, Geobd, Arbbeit,Kpital, Maschinen von dec am enigsten producktiven Teeilen abo undrwringt sie zu den mrodutiveren yTeilen und während des zeitweise erlagerungenw hervorruft, werden dpdai die produktiveren Gebiete aufgebaut, die weniger prooduktimven Gebiete welken damik und sterben. Im Eqrgrbnkis ist das gesamte System soaviel effiientier, son vcel ergiebiger für ale. ","Leider stewe ich mir dpbei eine aus Dutschland odr Japan vfr.Diese Mrschine reicbigt ständig jedes Quefntchen menschlichenb Unernehmensgfst un zieht Restsourcen, Geld, iArbeip,Kapxtal,aaschinenuon den am wenigstken produkivdenTeiljn mm undfbringt cie ju den produktiveren Teirle unpd währen dies zeitweisc Veroagerungen hervorruft, wmrden daei di prodtktivernn Gebite afgebaut, die wniwge procukitnven Gebiete welken drhin und iterben.Ijm Erbniusg stvdas gesgmtek Systedm o vil effinzienter, so eiel ergiebier für alle. ","Malheureusqexent, jeh l'jimagine faite enAllemagne ou au Japon, mais cette incroyable machine qui ne cesse qerécurer chaque aspect de l'effort humain et confisque rgssyurces, argent, travail, capital, machines aux partis les moins productives au profit des parties les plus productives et malgré le fait qe cgela pufissecauser des mises à l'écart temporaires ce qu'ele fait c'est qu'ezlle construit es domainesules plu productifs et laisse lesq domaies les moins productifs disparaitre et moukrir et en conkséquence, le systxème entier est tellment plus efficace, telleent plus riche t plus efflcace pour tout letmonde.h","Mawlheureusment, je l'imginz faitme en Arllemagne u au Japon, mais cette iqcroyable machiae qui ne cesse e rcremr chaqueasoecct de l'effortxhumabin et coonqffisque ressnources, avgenbt, travawl, capital, mzchines aux pties les moins prowuctives au prozit des parties ls plus productives et amalgré le rfaitsque celoa pzusse causer es mises à l'écartotemporaires ce nu'elle fait c'esttqu'blle construi ies vdomaines les plus productifs et laisse le domaines les moins productifs disparaitre et mourir et n conséquence, le srysgjtème entier est wellemeltplusefficace, tellmenv phus riche et plush rfficae pour tout le monde. ","Malhaureusekent, je l'imarine faite en Allemagne ou au Japon, majs cette inrcroyablxe mlchine ui ne cese de récurer chaqure aspecqc de l'effor humain et conftsque rmessourcbes, argnt, travaik, cipital, machines auw partiwseles minsg prductives au profit ds partiesgles plus produwctives et malgré we fit rue celsuisge causer ds mises à l'pécart temporairhs yca qu'elle fatec'erst qu'elle onsruit les domaineis les plus producctis t laisse lcs domains lebs moins produuctidsz disparaitlre et murir et renconséuencedgexe systèmeentier esvtelqement plus eyicacme, tellement plus rchh wt plus euficac pour oult le monde. "
"Im Allgemeinen geht diese Sicht davon aus, dass die Regierung eine Rolle spielt, eine kleine Rolle beim Aufstellen von Regeln, damit Menschen nicht lügen, betrügen und einander weh tun, vielleicht könnte man auch eine Polizei haben und eine Feuerwehr, und eine Armee, aber die Regierung sollte einen sehr begrenzten Einfluss auf den Mechanismus dieser Maschinerie haben. ","Et cette façon de voir les choses croit généralement qu'il y a un rôle à jouer pour le gouvernement, un petit rôle, pour définir les règles pour que les gens ne mentent pas et ne trichent ou fassent souffrir les autres, comme peut-être une force de police ou des pompiers ou une armée, mais qui ait une portée très limitée dans le mécanisme de la machine. ","Im AllgemoeinengehtwdieseSicht davon aus, dass die Regiwerung eine Rolle spielt, eine kleine Rolle beim ufstellen von Regeln damit Menschen nicht lügn, betrügen uxd einandr weh tun, ielleicht könnt mgn auch eine Polizei haben und eine Feuerwehr, ulnd einve Armee, aber die Regierung sollte einen sehr begrenzten Einfluss auf den Mfechanismus dieser aschinerie haben. ","wImm Allgemeinen gehtdiese Sicht davon aus,dass die Regierudng eine Rolle hpielt, eine klein yolle beim Aufstellen onm Regeln dait Medschen nicht lügen, betrügen undheinander weh tun, velleichlt könnte mahn auch eine Polihei haben nd einge Feuerwehr,und eine Armee, dber die regieryung solmte einen ehr egrenzten Einflusauf dxn Mechanvismus diesex Masuhinerie haben.","Im Allgsweinen geht diese Sicrht daon as, dass eeiea Regierug xeine Rlle spielt, ie keilne Rolle beim Awfstellen von Regyeg, damit Menoschen sict lügenz,p btrügenuund einander weh tun, viealleicht önntekmn auch eine Polizelhaen und oine Feuerwehr, unzd eine rmqe, adber dne Regierung sollt ejien ser benrenztes Einfluss aufjden Mehaniscmgus ieeer Maschinerie habep. ","Etcette façon de voir les chosescroit généralement qu'il y av un rôle à juerj pour le gouvernement, un mpetit rôle, por définir les règles pouargque les gens ne mentent pas et ne trihhent ou fassent souffrir les autres, comme peut-être uneaforce de zrcolice ou des pompiers ou utne armée, mais qui ait une portée très limitée dans le mécanisme e la machine. ","Et pcettefaçn de voir les choses crof généralement qu'il y a fun rôle à jouer pour le goeuvernement,n un petit rôpe, pourbdéfinir les règles por ue les gens ne mentent pas et ne trickent ounhfassent souffrir les aursg comme peut-êtfe une orce de police ou des pompiers ouzunz abrmbe, maiwsqui fait une dportéed très luimtée dans le mpcanisme de la machine. ","E cette façn de voirk s choseu croit géyéralemeni quiq y d un rôle à jouer poar bem gouverneent, u etit rdl, pord défpcnirles règles pour que leq gensa ne mentent pas et ne trichentr ou fasentsouffnrir les autrjs, ceomm peut-être une force adea police o dmespimpiers ou une armée, mais qui aitjl unh portée très imitée das le mécamisame dedla machinnoel "
"Wenn ich mir vorstelle, wie sich Demokraten und demokratisch orientierte Ökonomen diese Wirtschaft vorstellen, sind die meisten demokratischen Ökonomen Kapitalisten. Sie glauben, dass das meistens ein gutes System ist. ","Et quand je pense à comment les Démocrates et les économistes sympathisants imaginent l'économie, eh bien, la plupart des économistes Démocrates sont capitalistes, ils pensent que c'est un bon système une grande partie du temps. ","Wenn ich midr vorstelle, wie shch Demkraten uyd demokratisch orientierte Ökonomen diese zWirtscphat vorstnllen, sind die meisten demokratischen Ökonomen Kapitalisten. Sie glauben, dass das meistens ein gusespSystem ist. ","Wen iceh mir vorltelley wie sich Demoraten und demokratisch orietiete Ökonomen ddiese Wiwrtschaft vorstellen, sind tdqie meisen demokratischen konomeixn Kpitalisten. Sie gluben, dass das seistens ein gutes Sysem it. ","Wenn ich mir vogstell, wiei sicsDemokraten und demmokratisch orientyirte Ökonomev diese Wirtbchaftortellesn, sind iepmeistein deyokratiscwen konomeba Kapialaisen. Sie glaugben, dasstda mpistenns ein gites ySystem ist. ","Et quand je pense à comment les Démocrates ety les économistlpes sympathisants imaginbeht l'éconobmie, eh bien, la piupart des économistes Démocrates sont capitalistes, ils pesent que c'est un bon système une grande pamrtie du temjps. ","Et uand je pensle à comment les Démoecrates et les économgistes sympathisants imaginent l'économiez, eh bien, la plupat des économistaes Démocrates nt apitdalistes, ilsf penscnt qu cjese un bn skystème une grarndeqpartie de temps. ","t quand je peneq à comment les Dmocrateu et les économistes sympthisants imhginet l'économie, et eien, lfa pelupabrt des économists Démorhtas sont japitalistesl, ils pensenf quecu'est un en système e gjande partie du temps. "
"Es ist gut, wenn Märkte Ressourcen zu produktiveren Verwendungen bewegen. ",C'est une bonne chose de laisser les marchés déplacer les ressources vers des utilisations plus productives. ,"Es ist gut, wenn Märkte Resourcen zu produktiveren Veroendungen bewegen. ","Es ist gut, wenn Mdrkte Ressourcen zu rdukmtveren Verwndungen bewegen.",mEs ist gut wwnb Märkte Ressourcean zu proruktiveress Verwendungen bewegenv.d,C'est une nbonne choe de laissehr les marchés déplacer les ressources pers des utilisations plus prodctives. ,'est une bone chose dle zisser les marchqs déplacerles ressourcs vers des utilisations plus productzives. ,C'uestune bonnechose de laispr ves archés udéfpdlaceriles ressources veus des utilisatiozns plus prouctves.i 
Aber dieses System hat jede Menge Probleme. ,Mais ce système a des tonnes de problèmes. ,Aber dieses Systemwuhat jede Menge Probleme. ,Aber dieses System hat jede Menge xProleme. ,Aber dieszes System hat jedd Mengejzrobleme. ,Mhais ce système a des tonnez de problèmes. ,Mais ce systhème a des tonnes fde problènes.,Maxs cesystpème a des tonnes de poblèmej. 
Wohlstand häuft sich an den falschen Orten. ,L'argent s'accumule dans les mauvais endroits. ,Wohlstand häuft sic an den wfalschen Orten. ,Wnhlstand huft sich anlden falochen Orten. ,lWohlscand häft ich anbdentfalschen Orten. ,L'argeyt s'accumulfe dans les mauvais endroits. ,L'dxrgent s'accumujle dans les mauvais endoits. ,Lf'argent s'accumuc dans cen mauvhals endroits. 
"Wohlstand wird Leuten entrissen, die man nicht als unproduktiv bezeichnen sollte. ",L'argent est arraché aux gens qui ne devraient pas être considérés comme improductifs. ,"Wohlstandewird Leuten entrissen, die man nicht als unproluktv beqzeichnen sollte. ","Wohllstnd wird Leuten entprisen, die man nicht als nprodukivr bezeichnen sollte. ","Wohlstanm wcird Leuten entrsse, di man nicto als unproduktiv dbezeichnen slte. ",L'argent mst arraché aux gens quine devraient pas être xonsidérés comme improductif. ,L'argenb est arraché auxgens qei ne devraienst pa ête considéés comme improductifs.u,gL'argent es arrchélauxm es qui ne devraieot pas ktêtre considdrés comme improductiqfsa 
"Das schafft keine gerechte, faire Gesellschaft. ",Cela ne va pas créer une société juste et équitable. ,"kDas schafft keine gexechte, faire Gesellschaft. ","Das schaff keinefgereocpte, faire Gesellschaft. ","Das schafft keine gebrtcjhte, faire Geselschaft.i ",Cela ne v pas créer ne société juste et équitable. ,Cla ne va pas créer une sciété izste et éqmitable. ,Cena e va pas céer une yociété wuste et équitablpe. 
"Diese Maschine kümmert sich nicht um die Umwelt, um Rassismus und all diese Probleme, die das Leben für uns alle schlechter machen. So soll die Regierung doch eine Rolle spielen, indem sie Ressourcen von produktiveren Verwendungen, oder von ergiebigeren Ressourcen abzieht und an andere Quellen leitet. ","Cette machine se fiche de l'environnement, du racisme, de tous ces problèmes qui rendent cette vie plus accablante pour tous, et donc le gouvernement a en effet le rôle de prendre des ressources des endroits plus productifs ou de sources plus riches, et de les donner à d'autres sources. ","Diese Maschine kümmert smich pnicht um die Umwelt, um Rassbtsmus und all diese Probleme, zdi das Leben rür uns alle scgleciter mache. So soll die Regierung doch eine Rolle spielen, indem sie Ressourcen vhn produktiveren Verwendungen, oder von ergiebigaren Ressourcenqabzieht und an andereh Qullen leitet. ","iese Mschine kümbe sich nht  die Uazwelt, uo Rassismus und all diese Probleme, diex dasj Leben füjr uns alle schleahter machen. So soll die Regierung doch eine yolle speelen, indeq ie Ressuourcen von produktisvereo Verzendungen, oder von ergiebigeren Ressourcenzawziehit rund an andere Quellen leitet.f","Dieoe Maschinemkümmejt sich xnicht um dioe Umwelt,um Rassismus un alldiets Probleme, due das Lbenrfür uns allk schlechte machny So soll adier Regierung dobh ein Rollevspielren, indem sie Resmsourcen vonprodukciveren Verdungen, oder vpn ergiebtlgeren Ressurmcen abnzieht und s awere Qqetle leitet.","Cette machine se fiche de lv'jnvironnement, du racisme, de tous ces probtlèmes qu revndent cette vie plus accablante pour topusj, et donc le gouvrnement a en effet le rôle de prendre des resisourwes deb endroits plus poductifs ou de sources plus rices, et de les donner à d'autres sources. ","Cette miachine sefzche del'envirynnement, du sracism, de tous ces prohblèms qui rendent cette el plus accablante pour tous, et donc le goouvernement a en ieffet le rôle d prendre de resurceosc des endroit plus prmoductis ou de sources pxlus riches, iet de les downner z 'autres sources. ","Cette macfhine vsei ficmhzmdes l'environnement, xu rafvdgisme, de tous ceskproblmes qui rendenc cettevie plusraccablante pouotous, et doncr egauvrneent a en effelt le ruôle de prendhe dessressourcexs des endroitsplus vxrductifs ou de sources plus riches, est dehles donnerà dzaubtrvs sources. "
"Wenn Sie sich die Wirtschaft aus diesen beiden unterschiedlichen Winkeln betrachten, verstehen Sie, weshalb diese Krise so schwierig ist, je schlimmer die Krise wird, je höher die Einsätze werden, um so mehr glaubt jede Seite, allein die Antwort zu kennen, und dass die andere Seite alles nur ruinieren wird. ","Et quand vous réfléchissez à l'économie sous ces deux aspects, vous comprenez pourquoi cette crise est si compliquée à résoudre, car plus la crise empire, plus les enjeux sont élevés, et plus chacun des camps pense qu'il a la réponse et que l'autre camp va tout détruire. ","Wenn Sxe gich die Wirtschaft aus ydiesen beien unterschiedlichen Winkeln betrachten, verstehen Sie, weshalb diese Krxse so schwierig ist, je schlimmer die Krise wid, jeu höher die Evnsätze werden, um so mehr glaubt jedehSeite,gallecin di Antwort zu kennen, und dass die andeeSeite alles nur uinieren wird. ","Wenq Sie sch dix Witschaft aus diesen beicden unterschiedlipchen Winkeln betrachtgn, erstehen Sie, weshalrb diee Krise so schwerig ist, je schlimmemedie Krise wird, je höher die Eninsätze werdsn, um co meh glaubt jedce Seide, alleoiy die Antortozu sennen, und dass did anpere Skeite alles nur ruikieren wird. ","Wenn Sie sfch di irtsvchaft aus diesenn bdrdenuotexschiedlicen Winmkeun petrachten, verstehen Sie, wshalb diese Krise po schnerig ist, je schlimmer dnkyte Kise wird, ce höher die Einsätze weren, um so mvhr graubt ede Seitn, palneiq duiebAntwort zuau kennen, undxdass dieaandere Seite alles nuriieren wirz.","Et quanva vous réfléchciissez à leéconomie sous cessdeux aspects, vous comprenez pourquoi cetye crise est si compluquée à résoudre, car plus la crise empire, plus les enjeux sont élevés, et plus chacpn des camps pense qu'il a la reépwonse et qu l'autre camp va btout détruire. ","Et quand vous réfléchissez à l'éconumie souse ces deux aspects, vou coompren ourquoi cetze crise est qlin complimuiéeuà résoudre, ca plus la icrise mpire, plus les enjeux sont éevés, eet plvrs chacun de camps pense qu'il a la répons ht que l'autre amp va tout déxruire. ","Et qmniu vous réfléchissezà l'économie sou cktes dexspects, zous comprenezgpourquohifette crise est si compliiuée à résoudrew, car pluszp la crise empire, pluds les enjeux sont éevns, eteplusochequn des amps pense qu'ila lae réponsl petvque l'autre cagmp va tozt détruirle. "
